,time,open_cnt,c_cnt
0,2016-07-26 04:45:00,2,0
1,2016-07-26 04:46:00,2,0
2,2016-07-26 04:47:00,11,0
3,2016-07-26 04:48:00,7,0
4,2016-07-26 04:49:00,10,0
5,2016-07-26 04:50:00,6,1
6,2016-07-26 04:51:00,10,0
7,2016-07-26 04:52:00,21,1
8,2016-07-26 04:53:00,14,1
9,2016-07-26 04:54:00,15,2
10,2016-07-26 04:55:00,22,1
11,2016-07-26 04:56:00,16,2
12,2016-07-26 04:57:00,17,1
13,2016-07-26 04:58:00,12,1
14,2016-07-26 04:59:00,14,1
15,2016-07-26 05:00:00,15,1
16,2016-07-26 05:01:00,13,1
17,2016-07-26 05:02:00,13,1
18,2016-07-26 05:03:00,19,0
19,2016-07-26 05:04:00,26,2
20,2016-07-26 05:05:00,11,4
21,2016-07-26 05:06:00,17,2
22,2016-07-26 05:07:00,18,1
23,2016-07-26 05:08:00,15,5
24,2016-07-26 05:09:00,15,2
25,2016-07-26 05:10:00,18,2
26,2016-07-26 05:11:00,13,3
27,2016-07-26 05:12:00,17,0
28,2016-07-26 05:13:00,14,6
29,2016-07-26 05:14:00,23,5
30,2016-07-26 05:15:00,17,4
31,2016-07-26 05:16:00,14,6
32,2016-07-26 05:17:00,19,1
33,2016-07-26 05:18:00,18,7
34,2016-07-26 05:19:00,16,8
35,2016-07-26 05:20:00,16,4
36,2016-07-26 05:21:00,17,3
37,2016-07-26 05:22:00,17,7
38,2016-07-26 05:23:00,20,7
39,2016-07-26 05:24:00,17,4
40,2016-07-26 05:25:00,18,1
41,2016-07-26 05:26:00,17,4
42,2016-07-26 05:27:00,13,3
43,2016-07-26 05:28:00,14,6
44,2016-07-26 05:29:00,21,5
45,2016-07-26 05:30:00,12,5
46,2016-07-26 05:31:00,18,6
47,2016-07-26 05:32:00,14,5
48,2016-07-26 05:33:00,14,5
49,2016-07-26 05:34:00,19,2
50,2016-07-26 05:35:00,13,5
51,2016-07-26 05:36:00,20,7
52,2016-07-26 05:37:00,17,8
53,2016-07-26 05:38:00,17,8
54,2016-07-26 05:39:00,13,7
55,2016-07-26 05:40:00,19,8
56,2016-07-26 05:41:00,19,6
57,2016-07-26 05:42:00,19,8
58,2016-07-26 05:43:00,19,11
59,2016-07-26 05:44:00,15,3
60,2016-07-26 05:45:00,18,8
61,2016-07-26 05:46:00,21,11
62,2016-07-26 05:47:00,9,8
63,2016-07-26 05:48:00,18,11
64,2016-07-26 05:49:00,16,10
65,2016-07-26 05:50:00,21,12
66,2016-07-26 05:51:00,17,7
67,2016-07-26 05:52:00,16,5
68,2016-07-26 05:53:00,13,15
69,2016-07-26 05:54:00,20,11
70,2016-07-26 05:55:00,16,9
71,2016-07-26 05:56:00,14,11
72,2016-07-26 05:57:00,11,5
73,2016-07-26 05:58:00,23,8
74,2016-07-26 05:59:00,19,14
75,2016-07-26 06:00:00,11,7
76,2016-07-26 06:01:00,12,6
77,2016-07-26 06:02:00,18,9
78,2016-07-26 06:03:00,12,12
79,2016-07-26 06:04:00,13,6
80,2016-07-26 06:05:00,23,13
81,2016-07-26 06:06:00,22,12
82,2016-07-26 06:07:00,23,10
83,2016-07-26 06:08:00,17,13
84,2016-07-26 06:09:00,14,8
85,2016-07-26 06:10:00,16,8
86,2016-07-26 06:11:00,20,12
87,2016-07-26 06:12:00,24,13
88,2016-07-26 06:13:00,12,9
89,2016-07-26 06:14:00,12,10
90,2016-07-26 06:15:00,21,17
91,2016-07-26 06:16:00,16,10
92,2016-07-26 06:17:00,18,9
93,2016-07-26 06:18:00,9,13
94,2016-07-26 06:19:00,16,8
95,2016-07-26 06:20:00,16,15
96,2016-07-26 06:21:00,16,15
97,2016-07-26 06:22:00,17,11
98,2016-07-26 06:23:00,15,13
99,2016-07-26 06:24:00,20,14
100,2016-07-26 06:25:00,16,12
101,2016-07-26 06:26:00,13,12
102,2016-07-26 06:27:00,13,19
103,2016-07-26 06:28:00,23,12
104,2016-07-26 06:29:00,15,14
105,2016-07-26 06:30:00,16,21
106,2016-07-26 06:31:00,19,17
