,window10,avg(count)
0,"Row(start=datetime.datetime(2016, 7, 28, 3, 25), end=datetime.datetime(2016, 7, 28, 3, 35))",31.2
1,"Row(start=datetime.datetime(2016, 7, 26, 11, 5), end=datetime.datetime(2016, 7, 26, 11, 15))",33.7
2,"Row(start=datetime.datetime(2016, 7, 26, 13, 55), end=datetime.datetime(2016, 7, 26, 14, 5))",32.2
3,"Row(start=datetime.datetime(2016, 7, 27, 0, 55), end=datetime.datetime(2016, 7, 27, 1, 5))",34.2
4,"Row(start=datetime.datetime(2016, 7, 27, 6, 55), end=datetime.datetime(2016, 7, 27, 7, 5))",32.1
5,"Row(start=datetime.datetime(2016, 7, 26, 21, 45), end=datetime.datetime(2016, 7, 26, 21, 55))",32.0
6,"Row(start=datetime.datetime(2016, 7, 27, 9, 55), end=datetime.datetime(2016, 7, 27, 10, 5))",33.6
7,"Row(start=datetime.datetime(2016, 7, 28, 1, 15), end=datetime.datetime(2016, 7, 28, 1, 25))",36.1
8,"Row(start=datetime.datetime(2016, 7, 28, 0, 15), end=datetime.datetime(2016, 7, 28, 0, 25))",33.7
9,"Row(start=datetime.datetime(2016, 7, 28, 8, 15), end=datetime.datetime(2016, 7, 28, 8, 25))",4.4
10,"Row(start=datetime.datetime(2016, 7, 26, 15, 5), end=datetime.datetime(2016, 7, 26, 15, 15))",33.5
11,"Row(start=datetime.datetime(2016, 7, 27, 8, 55), end=datetime.datetime(2016, 7, 27, 9, 5))",31.7
12,"Row(start=datetime.datetime(2016, 7, 26, 12, 55), end=datetime.datetime(2016, 7, 26, 13, 5))",36.9
13,"Row(start=datetime.datetime(2016, 7, 28, 5, 35), end=datetime.datetime(2016, 7, 28, 5, 45))",33.1
14,"Row(start=datetime.datetime(2016, 7, 26, 22, 15), end=datetime.datetime(2016, 7, 26, 22, 25))",33.3
15,"Row(start=datetime.datetime(2016, 7, 27, 11, 45), end=datetime.datetime(2016, 7, 27, 11, 55))",33.3
16,"Row(start=datetime.datetime(2016, 7, 27, 16, 45), end=datetime.datetime(2016, 7, 27, 16, 55))",35.7
17,"Row(start=datetime.datetime(2016, 7, 27, 3, 5), end=datetime.datetime(2016, 7, 27, 3, 15))",30.3
18,"Row(start=datetime.datetime(2016, 7, 27, 12, 55), end=datetime.datetime(2016, 7, 27, 13, 5))",34.8
19,"Row(start=datetime.datetime(2016, 7, 27, 18, 25), end=datetime.datetime(2016, 7, 27, 18, 35))",31.9
20,"Row(start=datetime.datetime(2016, 7, 26, 13, 35), end=datetime.datetime(2016, 7, 26, 13, 45))",34.4
21,"Row(start=datetime.datetime(2016, 7, 26, 12, 35), end=datetime.datetime(2016, 7, 26, 12, 45))",31.3
22,"Row(start=datetime.datetime(2016, 7, 27, 9, 5), end=datetime.datetime(2016, 7, 27, 9, 15))",35.1
23,"Row(start=datetime.datetime(2016, 7, 27, 4, 45), end=datetime.datetime(2016, 7, 27, 4, 55))",29.1
24,"Row(start=datetime.datetime(2016, 7, 26, 19, 15), end=datetime.datetime(2016, 7, 26, 19, 25))",34.4
25,"Row(start=datetime.datetime(2016, 7, 27, 16, 35), end=datetime.datetime(2016, 7, 27, 16, 45))",31.0
26,"Row(start=datetime.datetime(2016, 7, 27, 20, 15), end=datetime.datetime(2016, 7, 27, 20, 25))",34.0
27,"Row(start=datetime.datetime(2016, 7, 27, 13, 35), end=datetime.datetime(2016, 7, 27, 13, 45))",35.3
